Pair,Levenshtein,Token,AST,Label
1,0.6573705179282868,0.48484848484848486,0.7750744786494538,1
2,0.9559322033898305,0.7692307692307693,0.9815289892252437,1
3,0.2862129144851658,0.48484848484848486,0.0,1
4,0.8530805687203792,0.4375,0.8802675585284281,1
5,0.9929577464788732,0.9090909090909091,0.9994775339602926,1
6,0.9837837837837838,0.6666666666666666,0.9978888106966924,1
7,0.9880952380952381,0.7272727272727273,0.9985994397759104,1
8,0.903954802259887,0.375,0.9199721642310369,1
9,0.578096947935368,0.4722222222222222,0.6095598674869853,1
10,0.9575551782682513,0.7692307692307693,0.9792254424211336,1
11,0.7761194029850746,0.2857142857142857,0.4002650762094102,1
12,0.8541666666666666,0.5384615384615384,0.0,1
13,0.8127853881278538,0.5,0.9259986902423052,1
14,0.46098003629764067,0.4722222222222222,0.8603431839847474,1
15,0.7685185185185185,0.4666666666666667,0.0,1
16,0.97165991902834,0.8,0.9722153921809688,1
17,0.978494623655914,0.6666666666666666,0.9978888106966924,1
18,0.7373271889400922,0.3,0.0,1
19,0.9447236180904522,0.84,0.9712541338081913,1
20,0.9312169312169312,0.6153846153846154,0.9922698524244554,1
21,0.9512670565302144,0.875,0.9806609547123623,1
22,0.8087431693989071,0.2777777777777778,0.0,1
23,0.9680851063829787,0.8333333333333334,0.0,1
24,0.6653225806451613,0.4857142857142857,0.9681750372948782,1
25,0.8449197860962567,0.4375,0.7477906186267845,1
26,0.9293286219081273,0.8333333333333334,0.0,1
27,0.8823529411764706,0.5,0.0,1
28,0.9176882661996497,0.8,0.0,1
29,0.6355140186915887,0.4594594594594595,0.6453166385745245,1
30,0.8262910798122066,0.3888888888888889,0.8783422459893048,1
31,0.8421052631578947,0.3333333333333333,0.8697421981004071,1
32,0.5778611632270169,0.4857142857142857,0.6240619704671992,1
33,0.7184466019417476,0.25,0.0,1
34,0.6613226452905812,0.5862068965517241,0.6742857142857143,1
35,0.5843137254901961,0.43243243243243246,0.6049473426402155,1
36,0.9111111111111111,0.5384615384615384,0.0,1
37,0.9312169312169312,0.6153846153846154,0.9929676511954993,1
38,0.903954802259887,0.5384615384615384,0.7905358385525401,1
39,0.9629629629629629,0.6666666666666666,0.9978888106966924,1
40,0.839622641509434,0.4117647058823529,0.8783422459893048,1
41,0.9390243902439024,0.6363636363636364,0.0,1
42,0.7410714285714286,0.5714285714285714,0.0,1
43,0.7761194029850746,0.3,0.40159045725646125,1
44,0.9464594127806563,0.8,0.9883510225213564,1
45,0.8856088560885609,0.8076923076923077,0.9389693659463311,1
46,0.9523809523809523,0.8,0.9698307579102281,1
47,0.5954198473282443,0.43243243243243246,0.7469060907546712,1
48,0.75,0.5333333333333333,0.0,1
49,0.9447852760736196,0.6363636363636364,0.0,1
50,0.8504672897196262,0.75,0.9316688567674113,1
51,0.8604651162790697,0.6363636363636364,0.0,1
52,0.8829787234042553,0.7272727272727273,0.0,1
53,0.7416107382550335,0.4444444444444444,0.0,1
54,0.4698205546492659,0.40540540540540543,0.7574918156635608,1
55,0.8839779005524862,0.8076923076923077,0.9394155381325731,1
56,0.9230769230769231,0.7692307692307693,0.9619551524313429,1
57,0.9880952380952381,0.7272727272727273,0.9985994397759104,1
58,0.8087431693989071,0.42857142857142855,0.0,1
59,0.7717391304347826,0.21052631578947367,0.0,1
60,0.8258706467661692,0.5333333333333333,0.9302022178734507,1
61,0.8941176470588236,0.5,0.0,1
62,0.6666666666666666,0.4444444444444444,0.7486521181001283,1
63,0.609375,0.45714285714285713,0.7509184423218221,1
64,0.8256880733944955,0.5714285714285714,0.0,1
65,0.627906976744186,0.43243243243243246,0.6182980816527299,1
66,0.8913043478260869,0.5384615384615384,0.0,1
67,0.7868852459016393,0.25,0.0,1
68,0.914572864321608,0.6666666666666666,0.9725651577503429,1
69,0.7839195979899497,0.3888888888888889,0.6648971466489715,1
70,0.9880952380952381,0.7272727272727273,0.9985994397759104,1
71,0.6524271844660194,0.5151515151515151,0.6364755107063746,1
72,0.656,0.47058823529411764,0.7761490683229814,1
73,0.803921568627451,0.4375,0.0,1
